"REF_NO","children","age_band","status","occupation","occupation_partner","home_status","family_income","self_employed","self_employed_partner","year_last_moved","TVarea","post_code","post_area","Average.Credit.Card.Transaction","Balance.Transfer","Term.Deposit","Life.Insurance","Medical.Insurance","Average.A.C.Balance","Personal.Loan","Investment.in.Mutual.Fund","Investment.Tax.Saving.Bond","Home.Loan","Online.Purchase.Amount","Revenue.Grid","gender","region","Investment.in.Commudity","Investment.in.Equity","Investment.in.Derivative","Portfolio.Balance"
4888,"Zero","55-60","Widowed","Retired","Unknown","Own Home","<10,000, >= 8,000","No","No",1991,"Meridian","L15 6LL","L15",19.49,2.99,0,436.79,0,54.88,47.95,0,33.47,12.96,4.99,1,"Female","North West",91.85,25.71,95.52,249.82
8525,"Zero","61-65","Partner","Retired","Retired","Own Home",">=35,000","No","No",1983,"Granada","CW11 1RA","CW11",9.99,244.41,152.96,143.95,86.96,181.89,38.48,37.97,45.96,28.95,3.99,2,"Male","North West",127.65,56.21,89.2,222.27
3411,"3","31-35","Partner","Professional","Housewife","Own Home","<25,000, >=22,500","No","No",1997,"Granada","PR8 6SQ","PR8",0,0,0,0,20.97,0,0,0,0,0,0,2,"Female","North West",4.19,0,3.5,17.05
692,"Zero","51-55","Partner","Secretarial/Admin","Other","Own Home","<20,000, >=17,500","No","No",1986,"Granada","WA10 2SW","WA10",0,0,0,17.99,29.96,0,0,0,0,0,0,2,"Male","North West",9.59,0,7.99,-72.74
10726,"1","51-55","Partner","Retired","Retired","Own Home",">=35,000","No","No",1994,"Central","CV12 9JU","CV12",0,0,19.48,0,58.97,34.99,0,0,0,0,0,2,"Female","West Midlands",15.69,5.83,15.66,-13.98
3252,"Zero","55-60","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1993,"Granada","BB9 0YE","BB9",0,42.48,0,0,9.99,0,69.42,0,0,0,0,2,"Female","North West",10.49,11.57,13.24,59.42
9097,"1","26-30","Partner","Professional","Professional","Own Home","<30,000, >=27,500","No","No",1996,"Carlton","WA4 0QJ","WA4",7.49,59.48,9.49,71.46,41.97,15,7.48,17.48,0,0,0,2,"Male","North West",37.98,6.66,25.57,71.41
9992,"Zero","22-25","Partner","Professional","Professional","Own Home","<27,500, >=25,000","No","No",1997,"Central","DY1 2QL","DY1",27.49,124.46,0,81.96,46.92,26.48,0,16.43,0,10.48,0,2,"Female","West Midlands",56.17,8.9,28.63,98.09
1496,"Zero","22-25","Single/Never Married","Business Manager","Other","Own Home","<25,000, >=22,500","No","No",1998,"Carlton","RM8 1TE","RM8",19.49,60.95,34.48,0,0,10.98,0,41.98,0,0,0,2,"Female","South East",22.98,8.83,8.83,93.37
1291,"Zero","55-60","Partner","Professional","Secretarial/Admin","Own Home",">=35,000","Yes","No",1982,"Central","NG12 5NW","NG12",0,0,24.48,40.98,0,60.46,0,41.48,0,0,0,2,"Male","East Midlands",13.09,16.99,23.82,64.34
708,"Zero","22-25","Single/Never Married","Business Manager","Professional","Own Home","<27,500, >=25,000","No","No",1990,"Meridian","M18 0NX","M18",0,49.98,0,24.48,0,0,0,23.48,0,0,0,2,"Female","North West",14.89,3.91,7.99,30
5538,"1","31-35","Partner","Professional","Professional","Own Home",">=35,000","No","No",1986,"Central","WR13 6QJ","WR13",0,0.51,0,23.46,66.95,79.47,279.83,14.99,1,0,39.49,2,"Female","West Midlands",18.18,69.13,77.62,190.65
8814,"Zero","26-30","Single/Never Married","Professional","Professional","Own Home","<27,500, >=25,000","No","No",1986,"TV South West","EX39 4HR","EX39",0,158.42,34.99,200.32,0,0,87.92,35.47,1,4.49,0,2,"Female","South West",78.75,21.48,54.12,159.56
9789,"Zero","45-50","Partner","Secretarial/Admin","Manual Worker","Own Home","<17,500, >=15,000","No","No",1960,"Central","NG12 4ET","NG12",104.92,0,89.46,0,72.44,9.99,0,0,0,0,0,2,"Female","East Midlands",53.36,1.67,13.74,64.04
6902,"Zero","51-55","Partner","Professional","Secretarial/Admin","Own Home",">=35,000","No","No",0,"Unknown","CF14 3DD","CF14",0,24.49,0,8.99,0,0,0,143.37,0,9.99,0,2,"Male","Unknown",6.7,25.56,25.39,45.43
5292,"1","41-45","Partner","Housewife","Unknown","Own Home","<15,000, >=12,500","No","Yes",1982,"Central","WS14 9EW","WS14",0,0,0,66.95,0,60.93,11.99,162.9,9.98,0,0,2,"Female","West Midlands",13.39,40.97,52.13,100.6
5548,"Zero","31-35","Single/Never Married","Business Manager","Unknown","Rent from Council/HA","<12,500, >=10,000","No","No",1964,"Central","B70 7ES","B70",0,0,0,0,0,0,0,0,0,19.45,11.99,2,"Female","West Midlands",0,5.24,0,-12.88
8669,"3","31-35","Partner","Housewife","Manual Worker","Own Home","<27,500, >=25,000","No","Yes",1987,"HTV","BA5 2EE","BA5",0,0,49.97,0,43.99,0,0,0,0,0,0,2,"Female","South West",18.79,0,7.33,6.54
1759,"Zero","55-60","Partner","Unknown","Retired","Own Home","<20,000, >=17,500","No","No",1995,"Central","NG23 7SP","NG23",0,18,0,26.48,0,51.96,0,0,0,0,0,2,"Female","East Midlands",8.9,8.66,13.07,64.93
